ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-12-10,239.59876144774594,235.8147920096041,260.78069710212395,239.59876144774594,239.59876144774594,8.139465325706977,8.139465325706977,8.139465325706977,7.774640711999999,7.774640711999999,7.774640711999999,0.3648246137069779,0.3648246137069779,0.3648246137069779,0.0,0.0,0.0,247.7382267734529
2024-12-11,239.3995203939089,234.87335022800977,259.67287438626505,239.3995203939089,239.3995203939089,8.444661924047505,8.444661924047505,8.444661924047505,7.774640711999999,7.774640711999999,7.774640711999999,0.6700212120475043,0.6700212120475043,0.6700212120475043,0.0,0.0,0.0,247.84418231795638
2024-12-12,239.20027934007183,235.20449818838387,259.7166074747113,239.20027934007183,239.20027934007183,7.8149982374407845,7.8149982374407845,7.8149982374407845,7.774640711999999,7.774640711999999,7.774640711999999,0.04035752544078427,0.04035752544078427,0.04035752544078427,0.0,0.0,0.0,247.01527757751262
2024-12-13,239.00103828623475,234.8635225708247,259.4237065870582,239.00103828623475,239.00103828623475,8.220893407385807,8.220893407385807,8.220893407385807,7.774640711999999,7.774640711999999,7.774640711999999,0.44625269538580664,0.44625269538580664,0.44625269538580664,0.0,0.0,0.0,247.22193169362055
2024-12-16,238.4033151155515,234.37874360706473,258.9522282182448,238.4033151155515,238.4033151155515,8.196848586934804,8.196848586934804,8.196848586934804,7.774640711999999,7.774640711999999,7.774640711999999,0.4222078749348035,0.4222078749348035,0.4222078749348035,0.0,0.0,0.0,246.6001637024863
2024-12-17,238.20407405865708,233.64345966769855,259.0125922338833,238.20407405865708,238.20407405865708,8.139465325707945,8.139465325707945,8.139465325707945,7.774640711999999,7.774640711999999,7.774640711999999,0.3648246137079454,0.3648246137079454,0.3648246137079454,0.0,0.0,0.0,246.34353938436504
2024-12-18,238.00483300176268,233.95558477546962,258.8907916729016,238.00483300176268,238.00483300176268,8.444661924047413,8.444661924047413,8.444661924047413,7.774640711999999,7.774640711999999,7.774640711999999,0.6700212120474128,0.6700212120474128,0.6700212120474128,0.0,0.0,0.0,246.4494949258101
2024-12-19,237.8055919448682,233.80362922457212,257.976479897665,237.8055919448682,237.8055919448682,7.814998237440278,7.814998237440278,7.814998237440278,7.774640711999999,7.774640711999999,7.774640711999999,0.040357525440279,0.040357525440279,0.040357525440279,0.0,0.0,0.0,245.6205901823085
2024-12-20,237.6063508842662,233.6292082554324,258.42489262444724,237.6063508842662,237.6063508842662,8.220893407386683,8.220893407386683,8.220893407386683,7.774640711999999,7.774640711999999,7.774640711999999,0.44625269538668505,0.44625269538668505,0.44625269538668505,0.0,0.0,0.0,245.82724429165287
2024-12-23,237.00862770246007,233.1917008236616,257.6356871926818,237.00862770246007,237.00862770246007,8.196848586933847,8.196848586933847,8.196848586933847,7.774640711999999,7.774640711999999,7.774640711999999,0.42220787493384715,0.42220787493384715,0.42220787493384715,0.0,0.0,0.0,245.2054762893939
2024-12-24,236.80938664185805,233.63994285747253,257.6875297113618,236.80938664185805,236.80938664185805,8.139465325708308,8.139465325708308,8.139465325708308,7.774640711999999,7.774640711999999,7.774640711999999,0.3648246137083096,0.3648246137083096,0.3648246137083096,0.0,0.0,0.0,244.94885196756636
2024-12-26,236.4108972683759,231.7037309950505,256.2039997932958,236.4108972683759,236.4108972683759,7.814998237441483,7.814998237441483,7.814998237441483,7.774640711999999,7.774640711999999,7.774640711999999,0.040357525441483084,0.040357525441483084,0.040357525441483084,0.0,0.0,0.0,244.22589550581736
2024-12-27,236.21165258163484,231.86181554035528,255.84740363944718,236.21165258163484,236.21165258163484,8.22089340738382,8.22089340738382,8.22089340738382,7.774640711999999,7.774640711999999,7.774640711999999,0.4462526953838199,0.4462526953838199,0.4462526953838199,0.0,0.0,0.0,244.43254598901865
2024-12-30,235.61391852141162,229.914679113387,254.88215786736427,235.61391852141162,235.61391852141162,8.19684858693289,8.19684858693289,8.19684858693289,7.774640711999999,7.774640711999999,7.774640711999999,0.4222078749328907,0.4222078749328907,0.4222078749328907,0.0,0.0,0.0,243.81076710834452
2024-12-31,235.41467385862393,231.24264152299617,256.22622540242935,235.41467385862393,235.41467385862393,8.139465325709278,8.139465325709278,8.139465325709278,7.774640711999999,7.774640711999999,7.774640711999999,0.36482461370927743,0.36482461370927743,0.36482461370927743,0.0,0.0,0.0,243.5541391843332
2025-01-02,235.01618453304846,230.55726764966127,254.21337579588624,235.01618453304846,235.01618453304846,7.814998237440977,7.814998237440977,7.814998237440977,7.774640711999999,7.774640711999999,7.774640711999999,0.040357525440977815,0.040357525440977815,0.040357525440977815,0.0,0.0,0.0,242.83118277048945
2025-01-03,234.81693987026077,231.02124294460737,254.91886033486094,234.81693987026077,234.81693987026077,8.220893407384697,8.220893407384697,8.220893407384697,7.774640711999999,7.774640711999999,7.774640711999999,0.44625269538469836,0.44625269538469836,0.44625269538469836,0.0,0.0,0.0,243.03783327764546
2025-01-06,234.21920581272025,230.81007939445206,255.01016754910046,234.21920581272025,234.21920581272025,8.196848586936506,8.196848586936506,8.196848586936506,7.774640711999999,7.774640711999999,7.774640711999999,0.42220787493650547,0.42220787493650547,0.42220787493650547,0.0,0.0,0.0,242.41605439965676
2025-01-07,234.01996112687343,229.97374226440155,254.56864161836566,234.01996112687343,234.01996112687343,8.13946532570734,8.13946532570734,8.13946532570734,7.774640711999999,7.774640711999999,7.774640711999999,0.3648246137073401,0.3648246137073401,0.3648246137073401,0.0,0.0,0.0,242.15942645258076
2025-01-08,233.82071644102658,230.8939140966352,254.77873069332477,233.82071644102658,233.82071644102658,8.444661924048056,8.444661924048056,8.444661924048056,7.774640711999999,7.774640711999999,7.774640711999999,0.6700212120480578,0.6700212120480578,0.6700212120480578,0.0,0.0,0.0,242.26537836507464
2025-01-10,233.42222704121326,229.4252305130704,254.55286877907443,233.42222704121326,233.42222704121326,8.220893407385576,8.220893407385576,8.220893407385576,7.774640711999999,7.774640711999999,7.774640711999999,0.4462526953855768,0.4462526953855768,0.4462526953855768,0.0,0.0,0.0,241.64312044859884
2025-01-13,232.8244929414933,228.7334091035289,253.1328845125372,232.8244929414933,232.8244929414933,8.196848586935548,8.196848586935548,8.196848586935548,7.774640711999999,7.774640711999999,7.774640711999999,0.42220787493554907,0.42220787493554907,0.42220787493554907,0.0,0.0,0.0,241.02134152842885
2025-01-14,232.62524824158666,227.36523737226582,252.86424928893953,232.62524824158666,232.62524824158666,8.139465325708306,8.139465325708306,8.139465325708306,7.774640711999999,7.774640711999999,7.774640711999999,0.3648246137083077,0.3648246137083077,0.3648246137083077,0.0,0.0,0.0,240.76471356729496
2025-01-15,232.4260035989361,228.37935396928378,253.0028472814334,232.4260035989361,232.4260035989361,8.444661924047967,8.444661924047967,8.444661924047967,7.774640711999999,7.774640711999999,7.774640711999999,0.6700212120479664,0.6700212120479664,0.6700212120479664,0.0,0.0,0.0,240.87066552298407
2025-01-16,232.22675895628555,228.82880361863255,253.27059581935907,232.22675895628555,232.22675895628555,7.814998237439969,7.814998237439969,7.814998237439969,7.774640711999999,7.774640711999999,7.774640711999999,0.04035752543996913,0.04035752543996913,0.04035752543996913,0.0,0.0,0.0,240.04175719372552
2025-01-17,232.027514313635,227.0887619273737,253.4132588447637,232.027514313635,232.027514313635,8.220893407382711,8.220893407382711,8.220893407382711,7.774640711999999,7.774640711999999,7.774640711999999,0.4462526953827116,0.4462526953827116,0.4462526953827116,0.0,0.0,0.0,240.2484077210177
2025-01-21,231.23053574303282,227.49321644063573,251.4919267747681,231.23053574303282,231.23053574303282,8.139465325709276,8.139465325709276,8.139465325709276,7.774640711999999,7.774640711999999,7.774640711999999,0.36482461370927555,0.36482461370927555,0.36482461370927555,0.0,0.0,0.0,239.37000106874208
2025-01-22,231.03162198874105,225.6474743287333,251.90662057267153,231.03162198874105,231.03162198874105,8.444661924047542,8.444661924047542,8.444661924047542,7.774640711999999,7.774640711999999,7.774640711999999,0.6700212120475434,0.6700212120475434,0.6700212120475434,0.0,0.0,0.0,239.4762839127886
2025-01-23,230.83270823444926,226.05979874751236,250.49675598442084,230.83270823444926,230.83270823444926,7.814998237440318,7.814998237440318,7.814998237440318,7.774640711999999,7.774640711999999,7.774640711999999,0.04035752544031854,0.04035752544031854,0.04035752544031854,0.0,0.0,0.0,238.64770647188956
2025-01-24,230.63379448015746,225.78557969072068,251.0774194092192,230.63379448015746,230.63379448015746,8.220893407383588,8.220893407383588,8.220893407383588,7.774640711999999,7.774640711999999,7.774640711999999,0.44625269538358997,0.44625269538358997,0.44625269538358997,0.0,0.0,0.0,238.85468788754105
2025-01-27,230.03705341134417,226.26756774490005,251.47827229013257,230.03705341134417,230.03705341134417,8.196848586931466,8.196848586931466,8.196848586931466,7.774640711999999,7.774640711999999,7.774640711999999,0.42220787493146705,0.42220787493146705,0.42220787493146705,0.0,0.0,0.0,238.23390199827566
2025-01-28,229.83813972173974,225.0456583820172,250.3080441055714,229.83813972173974,229.83813972173974,8.139465325707338,8.139465325707338,8.139465325707338,7.774640711999999,7.774640711999999,7.774640711999999,0.3648246137073383,0.3648246137073383,0.3648246137073383,0.0,0.0,0.0,237.97760504744707
2025-01-29,229.6392260321353,226.05946040323133,250.9063555528726,229.6392260321353,229.6392260321353,8.444661924047784,8.444661924047784,8.444661924047784,7.774640711999999,7.774640711999999,7.774640711999999,0.6700212120477839,0.6700212120477839,0.6700212120477839,0.0,0.0,0.0,238.08388795618308
2025-01-30,229.44031230727367,225.65184133181504,250.20537533556518,229.44031230727367,229.44031230727367,7.814998237440667,7.814998237440667,7.814998237440667,7.774640711999999,7.774640711999999,7.774640711999999,0.040357525440667945,0.040357525440667945,0.040357525440667945,0.0,0.0,0.0,237.25531054471435
2025-01-31,229.24139858241202,224.80607734277473,249.3535073123129,229.24139858241202,229.24139858241202,8.22089340738572,8.22089340738572,8.22089340738572,7.774640711999999,7.774640711999999,7.774640711999999,0.4462526953857208,0.4462526953857208,0.4462526953857208,0.0,0.0,0.0,237.46229198979773
2025-02-03,228.64465740782714,223.7318705401674,248.04716665807484,228.64465740782714,228.64465740782714,8.196848586932795,8.196848586932795,8.196848586932795,7.774640711999999,7.774640711999999,7.774640711999999,0.42220787493279616,0.42220787493279616,0.42220787493279616,0.0,0.0,0.0,236.84150599475993
2025-02-04,228.44574368775662,224.24294064569273,248.90748946103284,228.44574368775662,228.44574368775662,8.139465325709155,8.139465325709155,8.139465325709155,7.774640711999999,7.774640711999999,7.774640711999999,0.3648246137091549,0.3648246137091549,0.3648246137091549,0.0,0.0,0.0,236.58520901346577
2025-02-05,228.24682996768612,224.11139333790112,248.96631586812407,228.24682996768612,228.24682996768612,8.44466192404828,8.44466192404828,8.44466192404828,7.774640711999999,7.774640711999999,7.774640711999999,0.6700212120482795,0.6700212120482795,0.6700212120482795,0.0,0.0,0.0,236.69149189173442
2025-02-06,228.04791624761563,223.78575196213865,247.67651330320535,228.04791624761563,228.04791624761563,7.814998237441017,7.814998237441017,7.814998237441017,7.774640711999999,7.774640711999999,7.774640711999999,0.0403575254410173,0.0403575254410173,0.0403575254410173,0.0,0.0,0.0,235.86291448505665
2025-02-07,227.8490025311359,223.8199020335583,248.06066222191427,227.8490025311359,227.8490025311359,8.2208934073866,8.2208934073866,8.2208934073866,7.774640711999999,7.774640711999999,7.774640711999999,0.4462526953865993,0.4462526953865993,0.4462526953865993,0.0,0.0,0.0,236.0698959385225
2025-02-10,227.25226138169657,222.33196092164732,247.80839519423918,227.25226138169657,227.25226138169657,8.196848586934125,8.196848586934125,8.196848586934125,7.774640711999999,7.774640711999999,7.774640711999999,0.42220787493412537,0.42220787493412537,0.42220787493412537,0.0,0.0,0.0,235.4491099686307
2025-02-11,227.05334766521682,222.40168923732864,247.27230785678586,227.05334766521682,227.05334766521682,8.139465325707217,8.139465325707217,8.139465325707217,7.774640711999999,7.774640711999999,7.774640711999999,0.36482461370721764,0.36482461370721764,0.36482461370721764,0.0,0.0,0.0,235.19281299092404
2025-02-12,226.8544339483523,223.13063553689565,248.5273079319353,226.8544339483523,226.8544339483523,8.444661924048187,8.444661924048187,8.444661924048187,7.774640711999999,7.774640711999999,7.774640711999999,0.6700212120481882,0.6700212120481882,0.6700212120481882,0.0,0.0,0.0,235.29909587240047
2025-02-13,226.65552023148777,222.14389085826298,246.4627874096542,226.65552023148777,226.65552023148777,7.814998237440512,7.814998237440512,7.814998237440512,7.774640711999999,7.774640711999999,7.774640711999999,0.04035752544051208,0.04035752544051208,0.04035752544051208,0.0,0.0,0.0,234.47051846892828
2025-02-14,226.45660651462327,221.28876980206874,246.56020356310867,226.45660651462327,226.45660651462327,8.220893407385605,8.220893407385605,8.220893407385605,7.774640711999999,7.774640711999999,7.774640711999999,0.44625269538560597,0.44625269538560597,0.44625269538560597,0.0,0.0,0.0,234.67749992200888
2025-02-18,225.66095164716515,221.7854918358254,245.62660256792023,225.66095164716515,225.66095164716515,8.139465325708185,8.139465325708185,8.139465325708185,7.774640711999999,7.774640711999999,7.774640711999999,0.36482461370818525,0.36482461370818525,0.36482461370818525,0.0,0.0,0.0,233.80041697287334
2025-02-19,225.39805135630064,220.7180923677779,245.50941869187682,225.39805135630064,225.39805135630064,8.444661924047765,8.444661924047765,8.444661924047765,7.774640711999999,7.774640711999999,7.774640711999999,0.6700212120477651,0.6700212120477651,0.6700212120477651,0.0,0.0,0.0,233.8427132803484
2025-02-20,225.1351510654361,220.47879694420484,245.23941416903185,225.1351510654361,225.1351510654361,7.814998237441716,7.814998237441716,7.814998237441716,7.774640711999999,7.774640711999999,7.774640711999999,0.04035752544171617,0.04035752544171617,0.04035752544171617,0.0,0.0,0.0,232.95014930287783
2025-02-21,224.8722507745716,219.7294763957661,245.46504086315704,224.8722507745716,224.8722507745716,8.220893407385864,8.220893407385864,8.220893407385864,7.774640711999999,7.774640711999999,7.774640711999999,0.446252695385865,0.446252695385865,0.446252695385865,0.0,0.0,0.0,233.09314418195746
2025-02-24,223.8336014167127,219.5891043144739,244.93795120296056,223.8336014167127,223.8336014167127,8.196848586934498,8.196848586934498,8.196848586934498,7.774640711999999,7.774640711999999,7.774640711999999,0.42220787493449813,0.42220787493449813,0.42220787493449813,0.0,0.0,0.0,232.0304500036472
2025-02-25,223.4873849640931,218.42946686061876,243.57065049302997,223.4873849640931,223.4873849640931,8.139465325707699,8.139465325707699,8.139465325707699,7.774640711999999,7.774640711999999,7.774640711999999,0.3648246137077004,0.3648246137077004,0.3648246137077004,0.0,0.0,0.0,231.6268502898008
2025-02-26,223.14116851147347,219.0477275866348,244.23327098556246,223.14116851147347,223.14116851147347,8.444661924047342,8.444661924047342,8.444661924047342,7.774640711999999,7.774640711999999,7.774640711999999,0.6700212120473423,0.6700212120473423,0.6700212120473423,0.0,0.0,0.0,231.58583043552082
2025-02-27,222.69602421546608,218.38508255359082,242.50941614930386,222.69602421546608,222.69602421546608,7.814998237440357,7.814998237440357,7.814998237440357,7.774640711999999,7.774640711999999,7.774640711999999,0.040357525440358075,0.040357525440358075,0.040357525440358075,0.0,0.0,0.0,230.51102245290645
2025-02-28,222.25087991945873,217.31086805679135,242.3017662846185,222.25087991945873,222.25087991945873,8.220893407384871,8.220893407384871,8.220893407384871,7.774640711999999,7.774640711999999,7.774640711999999,0.4462526953848716,0.4462526953848716,0.4462526953848716,0.0,0.0,0.0,230.4717733268436
2025-03-03,220.91544703143657,216.2664633544857,241.12210534895968,220.91544703143657,220.91544703143657,8.196848586933656,8.196848586933656,8.196848586933656,7.774640711999999,7.774640711999999,7.774640711999999,0.422207874933658,0.422207874933658,0.422207874933658,0.0,0.0,0.0,229.11229561837024
2025-03-04,220.3889345097965,216.05738804357162,241.05806936826656,220.3889345097965,220.3889345097965,8.139465325708064,8.139465325708064,8.139465325708064,7.774640711999999,7.774640711999999,7.774640711999999,0.36482461370806474,0.36482461370806474,0.36482461370806474,0.0,0.0,0.0,228.5283998355046
2025-03-05,219.8624219881565,216.0893648600917,240.9494749949554,219.8624219881565,219.8624219881565,8.444661924047582,8.444661924047582,8.444661924047582,7.774640711999999,7.774640711999999,7.774640711999999,0.6700212120475827,0.6700212120475827,0.6700212120475827,0.0,0.0,0.0,228.3070839122041
2025-03-06,219.33590946651645,214.08065644118645,239.16032571347736,219.33590946651645,219.33590946651645,7.814998237440707,7.814998237440707,7.814998237440707,7.774640711999999,7.774640711999999,7.774640711999999,0.04035752544070749,0.04035752544070749,0.04035752544070749,0.0,0.0,0.0,227.15090770395716
2025-03-07,218.73258623781518,214.85893021986845,239.19835647001165,218.73258623781518,218.73258623781518,8.220893407385748,8.220893407385748,8.220893407385748,7.774640711999999,7.774640711999999,7.774640711999999,0.44625269538574996,0.44625269538574996,0.44625269538574996,0.0,0.0,0.0,226.95347964520093
2025-03-10,216.92261655171146,212.42099854281915,237.7598109872658,216.92261655171146,216.92261655171146,8.1968485869327,8.1968485869327,8.1968485869327,7.774640711999999,7.774640711999999,7.774640711999999,0.42220787493270157,0.42220787493270157,0.42220787493270157,0.0,0.0,0.0,225.11946513864416
2025-03-11,216.31929332301019,211.65162773162604,236.77533295373885,216.31929332301019,216.31929332301019,8.13946532570758,8.13946532570758,8.13946532570758,7.774640711999999,7.774640711999999,7.774640711999999,0.36482461370757974,0.36482461370757974,0.36482461370757974,0.0,0.0,0.0,224.45875864871778
2025-03-12,215.691242494513,211.05614393885406,236.05273819862,215.691242494513,215.691242494513,8.444661924047159,8.444661924047159,8.444661924047159,7.774640711999999,7.774640711999999,7.774640711999999,0.6700212120471596,0.6700212120471596,0.6700212120471596,0.0,0.0,0.0,224.13590441856016
2025-03-13,215.06319166601585,210.7654342613001,234.7107799369358,215.06319166601585,215.06319166601585,7.814998237440202,7.814998237440202,7.814998237440202,7.774640711999999,7.774640711999999,7.774640711999999,0.04035752544020222,0.04035752544020222,0.04035752544020222,0.0,0.0,0.0,222.87818990345605
2025-03-14,214.43514083751865,210.60918245677425,234.11941173793113,214.43514083751865,214.43514083751865,8.220893407384757,8.220893407384757,8.220893407384757,7.774640711999999,7.774640711999999,7.774640711999999,0.44625269538475665,0.44625269538475665,0.44625269538475665,0.0,0.0,0.0,222.6560342449034
